ProductId,FreightClass,NMFCCode,ExcludeCourier,isAccessory,isSweepsEligible,isSuperdcEligible,SipsEligible
15022181,100,'070680-04',0,'0','0','0','0'
15022182,100,'070680-04',0,'0','0','0','0'
15022183,100,'070680-04',0,'0','0','0','0'
15022184,100,'070680-04',0,'0','0','0','0'
15022185,100,'070680-04',0,'0','0','0','0'
15022186,100,'070680-04',0,'0','0','0','0'
15022187,100,'070680-04',0,'0','0','0','0'
15022188,100,'070680-04',0,'0','0','0','0'
15022189,100,'070680-04',0,'0','0','0','0'
15022190,100,'070680-04',0,'0','0','0','0'
15022191,100,'070680-04',0,'0','0','0','0'
15022192,100,'070680-04',0,'0','0','0','0'
15022193,100,'070680-04',0,'0','0','0','0'
15022194,100,'070680-04',0,'0','0','0','0'
15022195,100,'070680-04',0,'0','0','0','0'
15022196,100,'070680-04',0,'0','0','0','0'
15022197,100,'070680-04',0,'0','0','0','0'
15022198,100,'070680-04',0,'0','0','0','0'
15022199,100,'070680-04',0,'0','0','0','0'
15022200,100,'070680-04',0,'0','0','0','0'
15022201,100,'070680-04',0,'0','0','0','0'
15022202,100,'070680-04',0,'0','0','0','0'
15022203,100,'070680-04',0,'0','0','0','0'
15022204,100,'070680-04',0,'0','0','0','0'
